expkosarak.dat,0.500,0.500,948420,0.860,0.966,3.104,0.002,0.221,4632103,0,0,0
expkosarak.dat,0.500,0.700,948420,0.608,0.810,2.851,0.001,0.155,4632103,0,0,0
expkosarak.dat,0.500,0.900,948420,0.550,0.745,2.612,0.001,0.165,4632103,0,0,0
expkosarak.dat,0.300,0.500,948420,0.535,0.738,2.561,0.006,0.139,4632103,685019,0,2
expkosarak.dat,0.300,0.700,948420,0.530,0.770,2.858,0.005,0.142,4632103,685019,0,1
expkosarak.dat,0.300,0.900,948420,0.583,0.786,3.119,0.003,0.154,4632103,685019,0,0
expkosarak.dat,0.100,0.500,948420,0.612,0.698,2.712,0.015,0.147,4632103,938857,129487,6
expkosarak.dat,0.100,0.700,948420,0.582,0.807,2.692,0.007,0.149,4632103,938857,129487,2
expkosarak.dat,0.100,0.900,948420,0.523,0.768,2.728,0.001,0.147,4632103,938857,129487,0
expkosarak.dat,0.050,0.500,948420,0.526,0.780,2.758,0.027,0.142,4632103,1705370,273974,11
expkosarak.dat,0.050,0.700,948420,0.554,0.821,2.714,0.012,0.153,4632103,1705370,273974,5
expkosarak.dat,0.050,0.900,948420,0.563,0.775,2.573,0.004,0.156,4632103,1705370,273974,1
expkosarak.dat,0.010,0.500,948420,0.539,0.932,2.730,0.351,0.154,4632103,4416489,1400152,141
expkosarak.dat,0.010,0.700,948420,0.550,0.835,2.747,0.233,0.145,4632103,4416489,1400152,81
expkosarak.dat,0.010,0.900,948420,0.592,0.926,2.850,0.065,0.150,4632103,4416489,1400152,24
expkosarak.dat,0.001,0.500,948420,0.728,4.141,3.891,11.681,0.151,4632103,65211626,11492805,4031
expkosarak.dat,0.001,0.700,948420,0.624,2.677,3.262,9.075,0.148,4632103,65211626,11492805,3173
expkosarak.dat,0.001,0.900,948420,0.675,2.907,4.094,3.474,0.153,4632103,65211626,11492805,1213
