fi	3002,20002,40002	10	1
fi	3002,20002,43002	9	0.9
fi	3002,23002	10	1
fi	3002,23002,110011	9	0.9
fi	3002,23002,233002	10	1
fi	3002,23002,30002	10	1
fi	3002,23002,33002	10	1
fi	3002,23002,40002	10	1
fi	3002,23002,43002	9	0.9
fi	3002,233002	10	1
fi	3002,30002	10	1
fi	3002,30002,110011	9	0.9
fi	3002,30002,233002	10	1
fi	3002,30002,33002	10	1
fi	3002,30002,40002	10	1
fi	3002,30002,43002	9	0.9
fi	3002,33002	10	1
fi	3002,33002,110011	9	0.9
fi	3002,33002,233002	10	1
fi	3002,33002,40002	10	1
fi	3002,33002,43002	9	0.9
fi	3002,40002	10	1
fi	3002,40002,110011	9	0.9
fi	3002,40002,233002	10	1
fi	3002,40002,43002	9	0.9
fi	3002,43002	9	0.9
fi	3002,43002,233002	9	0.9
fi	33002	10	1
fi	33002,110011	9	0.9
fi	33002,110011,233002	9	0.9
fi	33002,233002	10	1
fi	33002,40002	10	1
fi	33002,40002,110011	9	0.9
fi	33002,40002,233002	10	1
fi	33002,40002,43002	9	0.9
fi	33002,43002	9	0.9
fi	33002,43002,233002	9	0.9
fi	40002	10	1
fi	40002,110011	9	0.9
fi	40002,110011,233002	9	0.9
fi	40002,233002	10	1
fi	40002,43002	9	0.9
fi	40002,43002,233002	9	0.9
fi	43002	9	0.9
fi	43002,233002	9	0.9
