200098	20:00_非装着
203002	20:30_静止
203003	20:30_安静
203004	20:30_立位
203006	20:30_歩行
203008	20:30_作業
203011	20:30_座位
203098	20:30_非装着
210002	21:00_静止
210003	21:00_安静
210004	21:00_立位
210006	21:00_歩行
210008	21:00_作業
210011	21:00_座位
210098	21:00_非装着
213002	21:30_静止
213003	21:30_安静
213004	21:30_立位
213006	21:30_歩行
213008	21:30_作業
213011	21:30_座位
213098	21:30_非装着
220002	22:00_静止
220003	22:00_安静
220004	22:00_立位
220006	22:00_歩行
220008	22:00_作業
220011	22:00_座位
220098	22:00_非装着
223002	22:30_静止
223003	22:30_安静
223004	22:30_立位
223006	22:30_歩行
223008	22:30_作業
223011	22:30_座位
223098	22:30_非装着
230002	23:00_静止
230003	23:00_安静
230004	23:00_立位
230006	23:00_歩行
230008	23:00_作業
230011	23:00_座位
230098	23:00_非装着
233002	23:30_静止
233003	23:30_安静
233004	23:30_立位
233006	23:30_歩行
233008	23:30_作業
233011	23:30_座位
233098	23:30_非装着
